Nome,N,E,Z
01,"-35,038","-5,632","104,532"
02,"-25,106","-5,656","104,527"
03,"-15,403","-5,818","104,159"
04,"-35,064","-5,808","102,613"
05,"-25,207","-5,772","102,732"
06,"-16,163","-5,775","102,239"
07,"-35,089","-5,775","101,167"
08,"-25,172","-5,815",101
09,"-16,098","-5,788","100,864"
10,"-22,466","-5,767","104,534"
11,"-45,467","-3,856","104,536"
12,"-45,481","3,224","104,017"
